OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0014,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-08-01,,,,,,,,,0,m,3.8,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0014,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,12.1,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0054,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-16,,,,,,,,,0,m,2,m,ACP Lakes 2013-Targeted;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0054,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,11.8,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0004,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-28,,,,,,,,,0,m,4.4,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0004,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,12.1,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0027,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-08-01,,,,,,,,,0,m,2.1,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0027,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,11.8,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0034,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-28,,,,,,,,,0,m,2.2,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0034,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,12.7,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0008,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-21,,,,,,,,,0,m,2,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0008,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,17.3,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0053,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-27,,,,,,,,,0,m,3.1,m,ACP Lakes 2013-Targeted;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0053,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,10.2,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0041,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-20,,,,,,,,,0,m,1.1,m,ACP Lakes 2013-Targeted;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0041,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,13.7,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0003,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-08-07,,,,,,,,,0,m,1.1,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0003,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,10.8,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQ-Field-NLA13-AK0004,Field Msr/Obs-Portable Data Logger,Water,Surface Water,2013-07-28,,,,,,,,,0,m,4.4,m,ACP Lakes 2013;EPACONTINUOUS,,AKDECAKMAP-NLA13-AK0004,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,12.1,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
