OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-704705152215100,UNNAMED LAKE 1.5 MI W OF VABM ELIE NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.78436930000000,-152.3674414000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704727153091400,ISLAND LAKE 5.5 MI SW OF VABM MARCH NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.79046510000000,-153.1571902000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704816152171700,UNNAMED LAKE 1.5 MI N OF VABM ELIE NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.80409398000000,-152.2913314000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704819152572000,UNNAMED LAKE 3.5 MI S OF VABM APRIL NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.80491380000000,-152.9588534000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704853153023800,UNNAMED LAKE 3.5 MI S OF VABM MARCH NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.81435700000000,-153.0471914000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704918152265600,UNNAMED LAKE 3 MI S OF VABM SAMUEL NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.82131350000000,-152.4521734000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-705012152211800,UNNAMED LK NR CAPE HALKETT NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.83631629000000,-152.3582850000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-711957156381301,UB02301822ADD 2  005,Well,,19060202,,,,,71.33208500000000,-156.6404229000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-711959156382101,UB02301822ADD 1  005,Well,,19060202,,,,,71.33264058000000,-156.6426453000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712000156383001,UB02301822ADC 1  003    BARROW AFW1,Well,,19060202,,,,,71.33291830000000,-156.6451454000000,63360,1,seconds,Interpolated from MAP.,NAD83,3.54,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712000156390701,UB02301822ACB 1  002    BARROW B56,Well,,19060202,,,,,71.33291820000000,-156.6554235000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712001156382301,UB02301822ADA 1  004,Well,,19060202,,,,,71.33319610000000,-156.6432009000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712001156384601,UB02301822ACA 4  001    BARROW ASW3,Well,,19060202,,,,,71.33319600000000,-156.6495900000000,63360,1,seconds,Interpolated from MAP.,NAD83,3.41,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712001156385401,UB02301822ACA 2  001    BARROW MW6,Well,,19060202,,,,,71.33319600000000,-156.6518123000000,63360,1,seconds,Interpolated from MAP.,NAD83,3.90,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712002156383501,UB02301822ADBC1  006    BARROW NARLTB5,Well: Test hole not completed as a well,,19060202,,,,,71.33347388000000,-156.6465344000000,63360,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,1995,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712002156384201,UB02301822ACA 3  001    BARROW AFW4,Well,,19060202,,,,,71.33347390000000,-156.6484789000000,63360,1,seconds,Interpolated from MAP.,NAD83,3.97,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712002156384801,UB02301822ACA 7  001,Well,,19060202,,,,,71.33347380000000,-156.6501456000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712002156385901,UB02301822ACA 1  001    BARROW MW14,Well,,19060202,,,,,71.33347380000000,-156.6532013000000,63360,1,seconds,Interpolated from MAP.,NAD83,5.25,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712003156390001,UB02301822ACA 6  001,Well,,19060202,,,,,71.33375159000000,-156.6534790000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712004156390001,UB02301822ACA 5  001,Well,,19060202,,,,,71.33402940000000,-156.6534790000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-712032156361601,UB02301814DCA 1  001,Well,,19060202,,,,,71.34180790000000,-156.6079236000000,63360,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
