OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100854,Sample-Routine,Water,Surface Water,1970-11-20,14:30:00,AKST,,,,,,,,,,,,,USGS-701642148144400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.010,mg/l asPO4,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300595,Sample-Routine,Water,Surface Water,1973-05-11,,,,,,,,,,,,,,,USGS-690150147430001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.000,mg/l asPO4,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300595,Sample-Routine,Water,Surface Water,1973-05-11,,,,,,,,,,,,,,,USGS-690150147430001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Orthophosphate,Dissolved,,,,Historical,,Actual,,,,,,,00671,,,,,,,,,,,,,Historical Lower Reporting Limit,0.010,mg/l as P,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300596,Sample-Routine,Water,Surface Water,1973-05-10,11:00:00,AKDT,,,,,,,,,,,,,USGS-691535147225001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.000,mg/l asPO4,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300596,Sample-Routine,Water,Surface Water,1973-05-10,11:00:00,AKDT,,,,,,,,,,,,,USGS-691535147225001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Orthophosphate,Dissolved,,,,Historical,,Actual,,,,,,,00671,,,,,,,,,,,,,Historical Lower Reporting Limit,0.010,mg/l as P,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.030,mg/l asPO4,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.010,mg/l as P,,Historical,,Actual,,,,,,,00671,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Total,0.01,mg/l as P,,Historical,,Actual,,,,,,,70507,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200748,Sample-Routine,Water,Surface Water,1972-06-21,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.000,mg/l asPO4,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200748,Sample-Routine,Water,Surface Water,1972-06-21,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Orthophosphate,Dissolved,0.000,mg/l as P,,Historical,,Actual,,,,,,,00671,,,,,,,,,,,,,,,,,NWIS
