OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-695924143420301,UNNAMED LAKE 9.6 MI SE OF KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,69.99000000000000,-143.7008333000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,109,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700137145312600,UNNAMED LK NR CANNING R DELTA NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060501,,,,,70.02673480000000,-145.5267313000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700210143134000,UNNAMED LK AT JAGO R NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.03594580000000,-143.2305374000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700313143435100,UNNAMED LK 25 NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.05343830000000,-143.7336109000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700438145423500,CANNING R DELTA E CHANNEL NR KAKTOVIK AK,Stream,,19060501,,,,,70.07701219000000,-145.7125840000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700450143100000,UNNAMED LK NR JAGO R NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060503,,,,,70.08039239000000,-143.1694293000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700646152112000,UNNAMED C 29 MI WSW OF NUIQSUT AK,Stream,,,,,,,70.11276110000000,-152.1888528000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700717143383401,NAVARAKPUK LAKE 0.5 MI W OF KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.12143610000000,-143.6427778000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,39,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700825152071300,UNNAMED C 27 MI WSW OF NUIQSUT AK,Stream,,,,,,,70.14040560000000,-152.1203110000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,64,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701008151561200,UNNAMED C 22 MI W OF NUIQSUT AK,Stream,,,,,,,70.16888889000000,-151.9366000000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,51,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
