date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,timestamp
2023-02-18,229.15833333333333,1.12125,1.7570833333333333,,,,,2809.1,-28.41125,-2.0,,,,2023-02-18 11:56:59.999999744
2023-02-19,250.94166666666666,3.6141666666666667,5.0024999999999995,,,,,2886.2166666666667,-25.001293103448276,-2.0,,,,2023-02-19 11:56:59.999999744
2023-02-20,261.6166666666667,6.241666666666666,9.9375,,,,,2819.27125,-25.399570815450645,-2.0,,,,2023-02-20 11:56:59.999999744
2023-02-21,241.0928270042194,5.94602510460251,7.332635983263598,,,,,3054.7462499999997,-33.77552742616034,-2.0,,,,2023-02-21 11:56:59.999999744
2023-02-22,101.98630136986301,10.133333333333333,11.495000000000001,,,,,2862.5,-26.629583333333336,-2.0,,,,2023-02-22 11:56:59.999999744
2023-02-23,131.34199134199133,9.743722943722945,11.603030303030303,,,,,2879.40375,-16.172294372294374,-2.0,,,,2023-02-23 11:56:59.999999744
2023-02-24,247.05531914893618,12.565106382978724,15.263404255319148,,,,,2803.465271966527,-7.8308333333333335,-2.0,,,,2023-02-24 11:56:59.999999744
2023-02-25,259.5,9.615086206896551,12.909913793103447,,,,,2897.4210970464137,-16.345833333333335,-2.0,,,,2023-02-25 11:56:59.999999744
2023-02-26,253.6218487394958,10.440336134453782,14.425630252100841,,,,,2802.110833333333,-24.424166666666668,-2.0,,,,2023-02-26 11:56:59.999999744
2023-02-27,256.94372294372295,8.228571428571428,12.039826839826839,,,,,2921.1,-26.51856540084388,-2.0,,,,2023-02-27 11:56:59.999999744
2023-02-28,185.67099567099567,5.224680851063829,5.714468085106383,,,,,2994.632083333333,-28.14375,-2.0,,,,2023-02-28 11:56:59.999999744
2023-03-01,71.49787234042553,10.746808510638298,11.74595744680851,,,,,2868.2320833333333,-26.59873417721519,-2.0,,,,2023-03-01 11:56:59.999999744
2023-03-02,73.57383966244726,6.554008438818565,7.095358649789029,,,,,2987.565,-26.7885593220339,-2.0,,,,2023-03-02 11:56:59.999999744
2023-03-03,109.62447257383967,3.9244725738396626,4.264556962025317,,,,,2888.2004166666666,-29.78987341772152,-1.7171874999999999,,,,2023-03-03 11:56:59.999999744
2023-03-04,195.81666666666666,4.015833333333333,4.452916666666667,,,,,2900.3479166666666,-34.7042194092827,-2.0,,,,2023-03-04 11:56:59.999999744
2023-03-05,102.9,9.520869565217392,11.304782608695652,,,,,2859.64125,-26.85274261603376,-2.0,,,,2023-03-05 11:56:59.999999744
2023-03-06,106.52380952380952,10.622746781115879,13.724463519313305,,,,,2854.80375,-16.467499999999998,-2.0,,,,2023-03-06 11:56:59.999999744
2023-03-07,109.66808510638297,8.171848739495799,10.574789915966388,,,,,2983.0659663865545,-12.170085470085471,-2.0,,,,2023-03-07 11:53:28.235294208
2023-03-08,204.47280334728035,6.2716666666666665,6.916250000000001,,,,,2815.055,-5.182773109243698,-2.0,,,,2023-03-08 11:56:59.999999744
2023-03-09,267.1041666666667,10.79375,15.011249999999999,,,,,2900.54125,-18.212083333333332,-2.0,,,,2023-03-09 11:56:59.999999744
2023-03-10,200.95689655172413,4.590948275862068,5.406465517241379,,,,,2831.023333333333,-24.06470588235294,-2.0,,,,2023-03-10 11:56:59.999999744
2023-03-11,240.32083333333333,6.075,7.139583333333333,,,,,2823.4091666666664,-15.470588235294118,-2.0,,,,2023-03-11 11:56:59.999999744
2023-03-12,247.42735042735043,6.722222222222222,9.128205128205128,,,,,2821.2675,-22.27033898305085,-2.0,,,,2023-03-12 11:56:59.999999744
2023-03-13,260.1375,8.135,11.2375,,,,,2857.305416666667,-28.598333333333336,-2.0,,,,2023-03-13 11:56:59.999999744
2023-03-14,282.26382978723404,4.241276595744681,4.767234042553191,,,,,2798.3899159663865,-29.551724137931036,-2.0,,,,2023-03-14 11:55:26.218487552
2023-03-15,249.30416666666667,6.041250000000001,6.944583333333333,,,,,2859.2158333333336,-33.795762711864406,-2.0,,,,2023-03-15 11:56:59.999999744
2023-03-16,220.73333333333332,3.9825,4.515,,,,,2928.39125,-33.660000000000004,-1.9461139896373054,,,,2023-03-16 11:56:59.999999744
2023-03-17,133.875,3.0637499999999998,3.5241666666666664,,,,,2815.2504166666668,-30.694759825327512,-1.9310526315789474,,,,2023-03-17 11:56:59.999999744
2023-03-18,100.45493562231759,6.068333333333333,6.580416666666666,,,,,2739.565,-27.346218487394957,-2.0,,,,2023-03-18 11:56:59.999999744
2023-03-19,84.58008658008659,6.96468085106383,7.511489361702128,,,,,2807.047916666667,-20.39662447257384,-1.9666666666666668,,,,2023-03-19 11:56:59.999999744
2023-03-20,190.65,6.0754166666666665,6.93875,,,,,2991.8433333333332,-13.142553191489363,-1.963783783783784,,,,2023-03-20 11:56:59.999999744
2023-03-21,159.62978723404257,6.945833333333334,7.871666666666667,,,,,3003.974672489083,-10.876271186440679,-1.9310160427807486,,,,2023-03-21 11:56:59.999999744
2023-03-22,120.12711864406779,5.19579831932773,5.782773109243697,,,,,2725.545,-12.417021276595746,-1.9281249999999999,,,,2023-03-22 11:56:59.999999744
2023-03-23,81.22270742358079,3.046153846153846,3.4111111111111114,,,,,2846.241841004184,-15.470762711864406,-1.9456521739130435,,,,2023-03-23 11:57:05.271966464
2023-03-24,200.47457627118644,5.866101694915255,6.686440677966102,,,,,3045.1650655021836,-12.106666666666667,-1.9984374999999999,,,,2023-03-24 11:56:59.999999744
2023-03-25,227.41772151898735,9.371308016877638,10.727004219409283,,,,,2893.4950000000003,-17.634042553191488,-2.0,,,,2023-03-25 11:56:59.999999744
2023-03-26,142.2375,7.70125,8.866666666666667,,,,,2853.3016666666667,-12.4275,-2.0,,,,2023-03-26 11:56:59.999999744
