tracer,j,i,dJ_darwin,dJ_bling,asym_rel,model0,obs_pco2
NO3,44,101,10.362211627479116,58.2596480507406,0.07691793309788354,0.0002564363821875304,0.0003478350864507051
NO3,44,111,3.688652648510525,10.215121854072176,0.14284099263058195,0.00029531086329370737,0.00033856074031347595
NO3,48,121,0.03522074804768864,-0.13998931947078477,2.172933142531533e-07,0.00029952972545288503,0.0003665215922494349
NO3,50,80,0.009005615308245146,0.0011928932684773911,1.0,0.0002994597889482975,0.00038099718108704233
NO3,51,66,-0.0,-8.0539474734582e-09,nan,0.000280992710031569,0.00041820622777147845
NO3,54,108,0.8818748799788131,26.476176086298278,1.0,0.00018131578690372407,0.00033237413024902345
NO3,55,3,-0.0,8.445383448535344e-09,nan,0.00025473031564615667,0.00037656227001171475
NO3,40,97,-131.48082408998593,-2462.5820246584344,0.07692583757338879,0.0005122249713167548,0.00037598521781298175
PO4,4,109,-810.6803626503697,-817.2842825176567,0.0013037527637166115,0.0002532072248868644,0.00040177796936035156
PO4,6,63,-364.07193115060977,-349.5286503895479,0.01938016118886549,0.00030618486925959587,0.00036472048164480376
PO4,6,74,-204.75373591663637,-237.91063104932545,0.0020597361886926136,0.00029673485551029444,0.0003311780194102093
PO4,6,87,-153.09777248831696,-162.94299151601746,0.0024785547297328375,0.0002975716779474169,0.0003204178187502488
PO4,6,97,83.32818370992352,9.821456705890832,0.009311019789037516,0.00030031727510504425,0.0002883125338164899
PO4,7,10,493.02088993850634,600.09776324472,0.003523552973624802,0.00030381596297957003,0.00024051820383788012
PO4,9,120,-328.50219806683504,-279.71262895909655,0.017249165437069117,0.0002833450853358954,0.0003378032382808605
PO4,10,25,-88.4200907636777,174.17745419516058,0.0007697668002626254,0.00032398971961811185,0.0003356227809323486
PO4,10,35,-83.87491530699586,226.88527586312594,0.04446674340861151,0.000332867493852973,0.0003443587313501019
PO4,13,53,-233.0746803580739,-126.53471291452543,0.01532427127791981,0.0002993889502249658,0.00036413286572456536
PO4,17,12,-207.81168053544621,-212.52911632330574,0.005910821325179308,0.0002628921065479517,0.0003497863656857397
PO4,17,63,-346.20634119481406,-295.26751401671794,0.001536698958885667,0.0002939020923804492,0.0003664801290993898
PO4,19,1,-275.88220586477155,-236.53856769756777,0.007272312479713929,0.0003032826352864504,0.0003554803670247396
PO4,19,101,-950.841013932458,-967.9452022879411,6.242970762086015e-05,0.0002934215881396085,0.00048292603363204306
PO4,20,23,-160.1172954298374,-173.8349631630287,0.007269393870157587,0.0003550185065250844,0.0003787671202601883
PO4,24,37,-122.28524230389057,-194.33570101491628,0.031537915601791054,0.0003161148342769593,0.00034977307128906244
PO4,25,73,-186.76385663562198,-184.66870898676203,0.01652400499405557,0.00031436499557457864,0.00034954657030282434
PO4,25,91,-191.14097306234328,-154.96026705238648,0.0052763241197924405,0.00034605362452566624,0.0003817779936949807
PO4,25,119,-314.9801878688851,-375.6162222762076,0.005958706367407169,0.00035668438067659736,0.0004128518385190636
PO4,27,55,615.3399016144555,928.0715618859127,0.006948734218312494,0.0004401864716783166,0.0004035625684554544
PO4,30,14,-121.10033292273025,-180.36618524845647,0.010146441003808224,0.00035039670183323324,0.0003761978352864583
PO4,30,25,11.53120541968637,14.265914520110694,0.015624992221141405,0.0003539259487297386,0.00035131582014072963
PO4,34,109,-528.9749106424731,-558.8784102667437,0.003976519644408868,0.00035873017623089254,0.00040860665529411346
PO4,38,77,-80.4505951469059,-82.97538204221122,0.07721526399862236,0.0003288451407570392,0.00034725264936587806
PO4,38,121,-221.89041457965897,-210.0284995144857,0.0032394450102409176,0.00032095907954499125,0.0003657535854921646
PO4,39,46,-26.756744776789922,25.464214799078484,0.025728082955860255,0.0003191180294379592,0.0003126033668146856
PO4,39,67,-312.4951147316517,-321.22899440277826,0.001273036885180513,0.0003037040587514639,0.00036533403737040645
PO4,39,89,585.7240777066744,790.1885586747261,0.00031365871154255396,0.0004359783779364079,0.0003700523545891922
